location_ID,plot_ID,x.m,y.m,burn_severity,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes,S.mm_hr0.5,kfs.mm_hr,hf.m,a1,a2,c1,c2,bulk_density.gcm3,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,notes_soil
1_8_0,1,8,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,WD,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_1,1,8,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_2,1,8,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA,102.90485056855799,404.40016872733446,0.03794995574883809,1.0704469723902212,3.8879818939846293,0.18359030955896838,0.043675014831561276,NA,NA,NA,NA,NA,NA,NA,NA
1_8_3,1,8,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_4,1,8,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_5,1,8,5,high,3,3,3,15,35,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_6,1,8,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.8,0.7,,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_7,1,8,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_8,1,8,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,F,,,B,no live,,NA,111.88194584216372,310.3556542785003,0.0584536007803323,1.0704469723902212,3.8879818939846293,0.1996061503197847,0.03351825457029341,NA,NA,NA,NA,NA,NA,NA,NA
1_8_9,1,8,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.5,NA,F,,,L,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_8_10,1,8,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.8,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_9_0,1,9,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.8,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_9_1,1,9,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_9_2,1,9,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
